category,orientation,color,setting,style,light,file_path
true,standing with body angled 45° but face turned toward camera (badge visible),burgundy,,business suit and tie,,E:\Project\name_tag_detection\data\true\generated_99.png
true,"walking from right to left across the field of view (profile, badge visible)",cream,,light-colored button-up shirt with dark trousers,,E:\Project\name_tag_detection\data\true\generated_100.png
true,"standing facing right (profile view, badge visible on the side)",dark navy blue,,turtleneck with blazer,,E:\Project\name_tag_detection\data\true\generated_101.png
true,approaching the camera at a slight angle (badge visible),light pink,,lab coat over professional clothing,,E:\Project\name_tag_detection\data\true\generated_102.png
true,walking diagonally from left-forward to right-backward (badge remains visible),forest green,,professional uniform,,E:\Project\name_tag_detection\data\true\generated_103.png
true,walking diagonally from right-forward to left-backward (badge remains visible),yellow,,light-colored button-up shirt with dark trousers,,E:\Project\name_tag_detection\data\true\generated_104.png
true,approaching the camera at a slight angle (badge visible),red,,tailored skirt suit,,E:\Project\name_tag_detection\data\true\generated_105.png
true,standing with body angled 45° but face turned toward camera (badge visible),dark navy blue,,professional dress,,E:\Project\name_tag_detection\data\true\generated_106.png
true,approaching the camera at a slight angle (badge visible),light gray,,tailored skirt suit,,E:\Project\name_tag_detection\data\true\generated_107.png
true,"walking from left to right across the field of view (profile, badge visible)",cream,,vest and dress shirt,,E:\Project\name_tag_detection\data\true\generated_108.png
true,"walking directly toward the camera (front view, approaching, badge visible)",cream,,blazer with jeans,,E:\Project\name_tag_detection\data\true\generated_109.png
true,"walking from right to left across the field of view (profile, badge visible)",steel blue,,turtleneck with blazer,,E:\Project\name_tag_detection\data\true\generated_110.png
true,"walking from left to right across the field of view (profile, badge visible)",purple,,business suit and tie,,E:\Project\name_tag_detection\data\true\generated_111.png
true,"standing with arms at sides, facing the camera (badge visible on chest)",burgundy,,vest and dress shirt,,E:\Project\name_tag_detection\data\true\generated_112.png
true,standing with body angled 45° but face turned toward camera (badge visible),turquoise,,sweater or cardigan with collared shirt underneath,,E:\Project\name_tag_detection\data\true\generated_113.png
true,"standing at 45° angle, facing right-forward (badge visible)",purple,,professional dress,,E:\Project\name_tag_detection\data\true\generated_114.png
true,walking diagonally from right-forward to left-backward (badge remains visible),black,,tailored skirt suit,,E:\Project\name_tag_detection\data\true\generated_115.png
true,"walking from left to right across the field of view (profile, badge visible)",teal,,vest and dress shirt,,E:\Project\name_tag_detection\data\true\generated_116.png
true,standing with body angled 45° but face turned toward camera (badge visible),sapphire blue,,turtleneck with blazer,,E:\Project\name_tag_detection\data\true\generated_117.png
true,"standing facing the camera directly (front view, badge fully visible)",white,,tailored skirt suit,,E:\Project\name_tag_detection\data\true\generated_118.png
true,"standing with arms at sides, facing the camera (badge visible on chest)",mustard yellow,,vest and dress shirt,,E:\Project\name_tag_detection\data\true\generated_119.png
true,standing with body angled 45° but face turned toward camera (badge visible),red,,sweater or cardigan with collared shirt underneath,,E:\Project\name_tag_detection\data\true\generated_120.png
true,approaching the camera at a slight angle (badge visible),sapphire blue,,business suit and tie,,E:\Project\name_tag_detection\data\true\generated_121.png
true,"standing at 45° angle, facing left-forward (badge visible)",ivory,,sweater or cardigan with collared shirt underneath,,E:\Project\name_tag_detection\data\true\generated_122.png
true,approaching the camera at a slight angle (badge visible),royal blue,,jacket with shirt and trousers,,E:\Project\name_tag_detection\data\true\generated_123.png
true,"standing with arms at sides, facing the camera (badge visible on chest)",peach,,business casual shirt and chinos,,E:\Project\name_tag_detection\data\true\generated_124.png
true,"standing facing left (profile view, badge visible on the side)",light pink,,business casual shirt and chinos,,E:\Project\name_tag_detection\data\true\generated_125.png
